,modified Zurich class,largest spot size,spot distribution,activity,evolution,previous 24 hour flare activity,historically-complex,became complex on this pass,area,area of largest spot,flares,flares_value
0,C,S,O,1,2,1,1,2,1,2,common flares,0
1,D,S,O,1,3,1,1,2,1,2,common flares,0
2,C,S,O,1,3,1,1,2,1,1,common flares,0
3,D,S,O,1,3,1,1,2,1,2,common flares,0
4,D,A,O,1,3,1,1,2,1,2,common flares,0
5,D,A,O,1,2,1,1,2,1,2,common flares,0
6,D,A,O,1,2,1,1,2,1,1,common flares,0
7,D,A,O,1,2,1,1,2,1,2,common flares,0
8,D,K,O,1,3,1,1,2,1,2,common flares,0
9,C,R,O,1,3,1,1,2,1,1,common flares,0
10,B,X,O,1,3,1,1,2,1,1,common flares,0
11,D,S,O,1,2,1,1,2,1,1,common flares,0
12,C,H,I,1,3,1,1,2,1,2,common flares,0
13,D,R,O,1,3,1,1,2,1,1,common flares,0
14,B,X,O,1,2,1,1,2,1,1,common flares,0
15,B,X,O,1,3,1,1,2,1,1,common flares,0
16,D,K,I,1,3,1,1,2,1,2,common flares,0
17,D,S,O,1,2,1,1,2,1,2,common flares,0
18,D,R,O,1,2,1,1,2,1,1,common flares,0
19,C,A,I,1,2,1,1,2,1,2,common flares,0
20,C,S,O,1,2,1,1,2,1,1,common flares,0
21,B,X,O,1,3,1,1,2,1,1,common flares,0
22,F,K,I,1,3,1,2,2,1,2,common flares,0
23,B,X,O,1,2,1,1,2,1,1,common flares,0
24,H,R,X,1,2,1,1,1,1,2,common flares,0
25,B,X,I,1,3,1,1,2,1,1,common flares,0
26,C,R,I,1,3,1,1,2,1,2,common flares,0
27,B,X,O,1,3,1,1,2,1,1,common flares,0
28,B,X,O,1,3,1,1,2,1,2,common flares,0
29,D,A,I,1,3,1,2,2,1,2,common flares,0
30,D,A,O,1,3,1,1,2,1,2,common flares,1
31,B,X,O,1,3,1,1,2,1,1,common flares,0
32,D,A,I,1,3,1,1,2,1,2,common flares,0
33,B,X,O,1,3,1,1,2,1,2,common flares,0
34,D,R,O,1,3,1,1,2,1,2,common flares,0
35,D,A,O,1,2,1,1,2,1,1,common flares,0
36,C,A,I,1,3,1,1,2,1,1,common flares,0
37,D,A,I,1,2,1,2,2,1,1,common flares,1
38,D,A,I,2,2,3,1,2,1,2,common flares,0
39,D,A,I,1,2,1,2,2,1,2,common flares,0
40,B,X,O,1,3,1,1,2,1,1,common flares,0
41,D,R,O,1,1,1,1,2,1,1,common flares,0
42,D,A,I,1,2,1,1,2,1,1,common flares,0
43,D,S,O,1,1,1,1,2,1,1,common flares,0
44,D,S,I,1,3,1,1,2,1,1,common flares,0
45,D,A,I,1,3,1,2,2,1,2,common flares,2
46,D,A,I,2,3,1,2,2,1,1,common flares,0
47,D,A,I,1,2,1,2,2,1,1,common flares,0
48,B,X,O,1,2,1,1,2,1,1,common flares,0
49,D,S,O,1,3,1,2,2,1,2,common flares,0
50,D,S,O,1,3,1,1,2,1,1,common flares,0
51,B,X,O,1,3,1,1,2,1,1,common flares,0
52,D,A,O,1,3,1,2,2,1,2,common flares,0
53,D,K,C,2,3,1,2,2,1,2,common flares,1
54,D,A,I,1,3,1,2,2,1,2,common flares,0
