modified Zurich class,largest spot size,spot distribution,activity,evolution,previous 24 hour flare activity,historically-complex,became complex on this pass,area,area of largest spot,flares,flares_value
C,S,O,1,2,1,1,2,1,2,common flares,0
D,S,O,1,3,1,1,2,1,2,common flares,0
C,S,O,1,3,1,1,2,1,1,common flares,0
D,S,O,1,3,1,1,2,1,2,common flares,0
D,A,O,1,3,1,1,2,1,2,common flares,0
D,A,O,1,2,1,1,2,1,2,common flares,0
D,A,O,1,2,1,1,2,1,1,common flares,0
D,A,O,1,2,1,1,2,1,2,common flares,0
D,K,O,1,3,1,1,2,1,2,common flares,0
C,R,O,1,3,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
D,S,O,1,2,1,1,2,1,1,common flares,0
C,H,I,1,3,1,1,2,1,2,common flares,0
D,R,O,1,3,1,1,2,1,1,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
D,K,I,1,3,1,1,2,1,2,common flares,0
D,S,O,1,2,1,1,2,1,2,common flares,0
D,R,O,1,2,1,1,2,1,1,common flares,0
C,A,I,1,2,1,1,2,1,2,common flares,0
C,S,O,1,2,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
F,K,I,1,3,1,2,2,1,2,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
H,R,X,1,2,1,1,1,1,2,common flares,0
B,X,I,1,3,1,1,2,1,1,common flares,0
C,R,I,1,3,1,1,2,1,2,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,2,common flares,0
D,A,I,1,3,1,2,2,1,2,common flares,0
D,A,O,1,3,1,1,2,1,2,common flares,1
B,X,O,1,3,1,1,2,1,1,common flares,0
D,A,I,1,3,1,1,2,1,2,common flares,0
B,X,O,1,3,1,1,2,1,2,common flares,0
D,R,O,1,3,1,1,2,1,2,common flares,0
D,A,O,1,2,1,1,2,1,1,common flares,0
C,A,I,1,3,1,1,2,1,1,common flares,0
D,A,I,1,2,1,2,2,1,1,common flares,1
D,A,I,2,2,3,1,2,1,2,common flares,0
D,A,I,1,2,1,2,2,1,2,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
D,R,O,1,1,1,1,2,1,1,common flares,0
D,A,I,1,2,1,1,2,1,1,common flares,0
D,S,O,1,1,1,1,2,1,1,common flares,0
D,S,I,1,3,1,1,2,1,1,common flares,0
D,A,I,1,3,1,2,2,1,2,common flares,2
D,A,I,2,3,1,2,2,1,1,common flares,0
D,A,I,1,2,1,2,2,1,1,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
D,S,O,1,3,1,2,2,1,2,common flares,0
D,S,O,1,3,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
D,A,O,1,3,1,2,2,1,2,common flares,0
D,K,C,2,3,1,2,2,1,2,common flares,1
D,A,I,1,3,1,2,2,1,2,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
D,A,O,1,3,1,2,2,1,2,common flares,0
D,S,I,1,3,1,1,2,1,1,common flares,0
D,K,C,1,2,1,1,2,1,2,common flares,0
D,A,I,1,2,1,1,2,1,2,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
D,S,O,1,2,1,2,2,1,2,common flares,0
D,K,C,2,3,3,2,2,1,2,common flares,1
E,K,I,2,3,1,2,2,1,2,common flares,0
D,S,I,1,3,1,2,2,1,2,common flares,1
C,S,O,1,2,1,2,2,1,2,common flares,0
D,S,I,1,3,1,2,2,1,2,common flares,0
H,H,X,1,2,1,2,2,1,1,common flares,1
D,S,I,1,3,1,2,2,1,2,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
B,X,O,1,3,1,1,2,1,1,common flares,0
C,R,O,1,3,1,1,2,1,1,common flares,0
H,S,X,1,2,1,1,1,1,2,common flares,0
D,A,O,1,2,1,2,2,1,2,common flares,0
D,K,C,2,2,3,2,2,1,2,common flares,0
D,K,I,1,3,1,2,2,1,2,common flares,0
D,S,I,1,2,1,2,2,1,1,common flares,0
C,A,O,1,2,1,2,2,1,2,common flares,0
D,S,O,1,1,1,2,2,1,2,common flares,0
H,S,X,1,3,1,2,2,1,2,common flares,0
D,K,I,1,3,1,2,2,1,2,common flares,0
H,R,X,1,2,1,1,2,1,2,common flares,0
B,X,O,1,2,1,1,2,1,1,common flares,0
H,S,X,1,3,1,1,1,1,2,common flares,0
C,S,O,1,1,1,2,2,1,2,common flares,0
D,K,C,2,2,3,2,2,1,2,common flares,0
D,A,I,1,2,1,2,2,1,2,common flares,0
C,S,O,2,2,1,2,2,1,1,common flares,0
C,S,O,1,2,1,2,2,1,2,common flares,0
C,S,O,1,2,1,2,2,1,2,common flares,0
C,S,O,2,3,1,2,2,1,2,common flares,0
D,K,I,1,3,1,2,2,1,2,common flares,0
H,R,X,1,2,1,1,2,1,2,common flares,0
H,S,X,1,3,1,1,1,1,2,common flares,0
C,S,O,1,2,1,1,2,1,2,common flares,1
C,K,O,1,2,3,2,2,1,2,common flares,0
C,S,O,1,1,3,2,2,1,2,common flares,0
C,S,O,1,1,1,2,2,1,2,common flares,0
C,K,I,1,3,1,2,2,1,2,common flares,0
E,A,C,1,3,1,2,2,1,2,common flares,0
H,R,X,1,2,1,1,2,1,2,common flares,0
